block_id,len_chars,est_sentences,preview
0,1503,18,"The legend is of King Asura (popularly known as Maveli), a mythical king who ruled over Kerala. He was greatly respected"
1,1592,9,according to the Documents on the Persian Gulf's name it is very natural that in Arabicizing the words sometimes A is ad
2,1576,10,"The Medal of Honor could also be received for actions that happened in peacetime, such as conflicts in which the United "
3,1552,12,"Seeing the success of the mujahideen, the UN and senior leaders of several Afghan mujahideen parties decided to meet in "
4,1686,19,"The group released their first studio album entitled ""XOXO"" in June 2013 with two versions, Korean edition ""Kiss"" and th"
5,1920,17,"The name Cossack itself literally means ""free man"". The term was first used in the year 1395. The most well known Cossac"
6,1821,9,"Château de Montsoreau-Museum of contemporary art project began in November 2014. In June 2015, Philippe Méaille and crea"
7,1504,22,When the American Express Company was founded in 1850 it was an “express business”. This meant that it was a private com
8,1648,13,Hydrogen Fuel Cell Vehicles use a fuel cell stack in order to convert the chemical energy that’s being stored in hydroge
9,1692,28,"Bernard Gay Marshall (August 23, 1875 - December 14, 1945) was an American writer. He wrote long stories about people wh"
10,1894,9,"Galvanax is the reigning champion of ""Galaxy Warriors"", the most popular intergalactic TV game show in the universe wher"
11,1973,16,"Levon Mkrtchyan, (, ; born 25 February 1953, in Gyumri) is an Armenian movie director known for his documentaries ""The M"
12,2150,14,Conwy being located on the North Wales Coast and stretching into the Snowdonia National Park has very impressive and out
13,1521,10,"As Spider-Man, he then becomes a successful TV star. The career then goes to his head that one day at a studio, he refus"
14,1885,8,"After graduating from Baylor University in 1986, he continued honing his act in comedy clubs in the Southwest with new c"
15,2080,20,"In 1991 Jayalalithaa became Tamil Nadu's youngest chief minister. Despite a monthly salary of Rs.1, she made a grand mar"
16,1676,21,Kailash Rao was her literary teacher who guided her literary activities. Kuntala Kumari enrolled herself as a member of 
17,1600,12,"5 Seconds of Summer started out with Luke Hemming making covers on YouTube and, then he invited Calum and Michael to the"
18,1537,10,"In its first years (1st–6th editions, 1768–1826), the ""Britannica"" was controlled by the people who first wrote it, Coli"
19,1743,26,"When the tropical depression formed, it was in an area of weak steering currents. This was located south of a ridge exte"
20,1976,16,"In March 2001, the World Wrestling Federation bought World Championship Wrestling. Soon after, ""The Invasion"" took place"
21,1757,15,"Subsequently, he had leading roles in Wing Commander (1999), Down to You (2000), Boys and Girls (2000), Head over Heels "
22,1509,20,The foreskin is a fold of skin that covers the end of the penis. The foreskin is a bit thicker than an eyelid. Cutting o
23,1846,8,Hoult is a versatile actor who has been acting since he was three years old. His extensive filmography includes leading 
24,2051,24,"The player starts the game controlling Roxas, a 15-year-old boy living in Twilight Town. He is on summer vacation with h"
25,1618,14,"Located 25 miles south of the equator, Jarvis Island, is an uninhabited coral island located in the South Pacific Ocean."
26,1605,18,A disturbance formed in the deep tropical Atlantic in the fourth week of August. It tracked westward into the Caribbean 
27,1938,11,The Democratic Labour Party (DLP) was founded in 1955 by Errol Barrow and Co-founded by Fredrick Smith. They were once m
28,1710,21,"Pakistani Shepherd Dogs are very strong and muscular dogs. They have a rounded forehead and dark, almond-shaped eyes. Th"
29,1937,12,"People with NPD act very confident as a façade. A lot of people with NPD have deep-rooted self esteem issues, due to the"
30,1800,17,"The single prologue of EXO-K and EXO-M, ""What Is Love"" was released on January 30, 2012 in South Korea and mainland Chin"
31,2391,70,"a. Includes John Surtees' fastest lap in the South African Grand Prix in a non-works McLaren. b. In 1949 and 1950, AFM p"
32,1791,33,Al-Hurra lived in the early 1500’s. She managed to control the Western half of the Mediterranean for well over 30 years.
33,2102,15,"The film joined genuine Indian developments made by Remya Jose, Mohammad Idris, Jahangir Painter and Sonam Wangchuk. The"
34,2284,16,"Files going to press are generally printed at 300 dots per inch. As a result, the file size can become very large, depen"
35,2258,22,"Chery Automobile Co. Ltd., trading as Chery (), is one of the leading automobile manufacturers in China. Founded in 1997"
